shard_id,split,shard_index,peak_rss_bytes,peak_rss_mb
train-00194-of-00406,train,194,1035345920,987.3828125
train-00195-of-00406,train,195,1038278656,990.1796875
train-00196-of-00406,train,196,1042993152,994.67578125
train-00197-of-00406,train,197,1035943936,987.953125
train-00198-of-00406,train,198,1033113600,985.25390625
train-00199-of-00406,train,199,1039368192,991.21875
train-00200-of-00406,train,200,1049391104,1000.77734375
train-00201-of-00406,train,201,1043664896,995.31640625
train-00202-of-00406,train,202,1040900096,992.6796875
train-00203-of-00406,train,203,1044811776,996.41015625
train-00204-of-00406,train,204,1049292800,1000.68359375
train-00205-of-00406,train,205,1037860864,989.78125
train-00206-of-00406,train,206,1035788288,987.8046875
train-00207-of-00406,train,207,1046470656,997.9921875
train-00208-of-00406,train,208,1035202560,987.24609375
train-00209-of-00406,train,209,1030344704,982.61328125
train-00210-of-00406,train,210,1025982464,978.453125
train-00211-of-00406,train,211,1050828800,1002.1484375
train-00212-of-00406,train,212,1040556032,992.3515625
train-00213-of-00406,train,213,1051041792,1002.3515625
train-00214-of-00406,train,214,1041350656,993.109375
train-00215-of-00406,train,215,1031770112,983.97265625
train-00216-of-00406,train,216,1045594112,997.15625
train-00217-of-00406,train,217,1046061056,997.6015625
train-00218-of-00406,train,218,1050992640,1002.3046875
train-00219-of-00406,train,219,1043517440,995.17578125
train-00220-of-00406,train,220,1048195072,999.63671875
train-00221-of-00406,train,221,1057054720,1008.0859375
train-00222-of-00406,train,222,1039720448,991.5546875
train-00223-of-00406,train,223,1040633856,992.42578125
train-00224-of-00406,train,224,1044606976,996.21484375
train-00225-of-00406,train,225,1048141824,999.5859375
train-00226-of-00406,train,226,1055014912,1006.140625
train-00227-of-00406,train,227,1040486400,992.28515625
train-00228-of-00406,train,228,1041182720,992.94921875
train-00229-of-00406,train,229,1029554176,981.859375
train-00230-of-00406,train,230,1053134848,1004.34765625
train-00231-of-00406,train,231,1040723968,992.51171875
train-00232-of-00406,train,232,1039220736,991.078125
train-00233-of-00406,train,233,1039712256,991.546875
train-00234-of-00406,train,234,1057599488,1008.60546875
train-00235-of-00406,train,235,1037426688,989.3671875
train-00236-of-00406,train,236,1044111360,995.7421875
train-00237-of-00406,train,237,1033285632,985.41796875
train-00238-of-00406,train,238,1038385152,990.28125
train-00239-of-00406,train,239,1044107264,995.73828125
train-00240-of-00406,train,240,1063854080,1014.5703125
train-00241-of-00406,train,241,1038618624,990.50390625
train-00242-of-00406,train,242,1037205504,989.15625
train-00243-of-00406,train,243,1060581376,1011.44921875
train-00244-of-00406,train,244,1061527552,1012.3515625
train-00245-of-00406,train,245,1049001984,1000.40625
train-00246-of-00406,train,246,1059991552,1010.88671875
train-00247-of-00406,train,247,1044938752,996.53125
train-00248-of-00406,train,248,1046028288,997.5703125
train-00249-of-00406,train,249,1035976704,987.984375
train-00250-of-00406,train,250,1060216832,1011.1015625
train-00251-of-00406,train,251,1051447296,1002.73828125
train-00252-of-00406,train,252,1060814848,1011.671875
train-00253-of-00406,train,253,1043943424,995.58203125
train-00254-of-00406,train,254,1090928640,1040.390625
train-00255-of-00406,train,255,1044647936,996.25390625
train-00256-of-00406,train,256,1057087488,1008.1171875
train-00257-of-00406,train,257,1056751616,1007.796875
train-00258-of-00406,train,258,1057476608,1008.48828125
train-00259-of-00406,train,259,1037090816,989.046875
train-00260-of-00406,train,260,1059082240,1010.01953125
train-00261-of-00406,train,261,1048350720,999.78515625
train-00262-of-00406,train,262,1037680640,989.609375
